"winner";"rated";"turns";"victory_status";"white_rating";"black_rating";"opening_ply";"matchtime";"increment";"ECO";"firstmove";"firstresponse";"diffELO";"king.moves";"queen.moves";"rook.moves";"knight.moves";"bishop.moves";"takes";"w.castle";"b.castle";"checks";"material"
"black";1;64;"resign";1358;1036;3;10;10;"B";"Usual";"Usual";395.497840838988;6;3;12;-16;0;-4;"castle";"castle";-6;3
"black";1;64;"mate";1200;1002;6;10;10;"B";"Usual";"Usual";231.46822948797;-1;3;1;-2;1;-3;"castle";"castle";1;-1
"white";1;54;"resign";1203;1019;3;10;10;"B";"Usual";"Usual";216.236890808143;0;-2;-3;-2;6;1;"castle";"castle";-1;-3
"black";0;21;"resign";1019;1500;6;15;3;"D";"Unusual";"Usual";-609.335903763109;0;4;0;-1;0;-1;"no castle";"no castle";1;3
"white";0;11;"resign";1422;975;3;18;0;"B";"Usual";"Usual";549.443244910549;0;0;0;2;0;1;"no castle";"no castle";0;0
"black";1;19;"resign";976;1832;4;10;0;"B";"Unusual";"Unusual";-1160.69586674892;0;1;0;1;2;0;"no castle";"castle";0;0
"white";1;28;"resign";1569;978;10;10;0;"D";"Unusual";"Usual";753.78932757557;-1;4;0;-2;-1;-1;"castle";"no castle";1;1
"black";0;22;"resign";978;1500;2;15;0;"A";"Unusual";"Usual";-654.673658235657;0;4;0;3;-1;0;"no castle";"castle";0;8
"white";0;37;"resign";1500;978;17;15;0;"B";"Usual";"Usual";654.673658235657;2;1;-1;0;1;2;"castle";"castle";-1;-1
"white";0;34;"resign";2449;978;3;30;30;"A";"Unusual";"Unusual";2275.46730413325;0;1;-2;2;-2;0;"castle";"castle";0;1
"black";0;71;"resign";1241;978;3;5;5;"B";"Usual";"Usual";308.834361505244;6;-13;7;1;-1;-4;"castle";"castle";-3;-12
"white";0;30;"resign";1500;978;3;30;0;"B";"Usual";"Usual";654.673658235657;0;2;0;1;-1;0;"castle";"castle";-2;0
"white";0;66;"resign";2443;978;17;40;40;"B";"Usual";"Usual";2263.47470697101;-1;1;0;2;-1;2;"castle";"castle";0;-7
"white";0;41;"resign";1500;978;3;20;0;"B";"Usual";"Usual";654.673658235657;0;-1;1;-1;0;-2;"castle";"no castle";-3;-11
"white";0;49;"resign";1500;978;3;15;0;"B";"Usual";"Usual";654.673658235657;-5;2;-2;5;1;3;"castle";"no castle";2;-3
"white";0;7;"resign";1343;978;3;10;0;"B";"Usual";"Usual";440.094077729796;0;0;0;-1;1;0;"no castle";"no castle";0;0
"white";0;35;"mate";2436;978;17;40;40;"B";"Usual";"Usual";2249.5114127082;0;1;-3;1;2;3;"castle";"castle";1;-3
"white";0;41;"mate";2436;978;4;40;40;"B";"Usual";"Unusual";2249.5114127082;-2;-1;1;1;-3;3;"castle";"no castle";1;-1
"black";0;5;"resign";978;1500;3;10;0;"C";"Unusual";"Usual";-654.673658235657;0;-1;0;1;0;0;"no castle";"no castle";0;0
"white";0;7;"resign";1500;978;4;10;0;"C";"Usual";"Usual";654.673658235657;0;0;0;2;0;0;"no castle";"no castle";0;0
"white";0;53;"mate";978;1500;2;10;0;"A";"Unusual";"Unusual";-654.673658235657;-6;4;-1;2;1;6;"no castle";"no castle";9;-14
"black";0;36;"resign";1500;978;2;10;0;"A";"Unusual";"Unusual";654.673658235657;2;2;-1;-3;0;-4;"no castle";"no castle";-4;-1
"white";1;8;"resign";1521;1162;2;16;0;"A";"Unusual";"Unusual";472.945404071561;-2;0;0;1;0;1;"no castle";"no castle";0;-1
"white";1;28;"resign";1492;1458;5;10;0;"C";"Usual";"Usual";47.5916101172116;0;5;-1;2;-5;2;"no castle";"castle";0;-3
"black";1;30;"resign";1414;1442;8;10;0;"C";"Usual";"Usual";-38.3812461443553;0;-1;1;5;-1;-1;"castle";"castle";1;10
"black";1;44;"resign";1457;1294;5;10;0;"C";"Usual";"Usual";218.154534238125;1;-4;2;1;0;-3;"castle";"castle";-3;1
"white";1;29;"resign";1525;1466;6;10;0;"C";"Usual";"Usual";83.3315854410857;0;2;-2;5;-1;2;"no castle";"no castle";4;0
"black";1;37;"resign";1207;1579;3;8;10;"C";"Usual";"Usual";-501.890191239975;0;1;-1;-2;-1;0;"castle";"castle";-2;10
"white";1;49;"resign";1567;1573;2;8;12;"A";"Unusual";"Unusual";-8.75015422578655;2;1;-2;1;2;0;"no castle";"castle";-3;-2
"black";1;32;"resign";1578;1605;2;8;12;"A";"Unusual";"Usual";-39.7338062924121;-1;-6;0;1;5;-1;"no castle";"no castle";0;-1
"white";1;25;"resign";1939;1581;6;8;12;"E";"Unusual";"Usual";564.054287476866;-1;1;0;0;2;1;"no castle";"no castle";0;-3
"black";1;40;"mate";1618;1568;2;5;10;"C";"Usual";"Usual";73.6273904996915;2;-4;0;1;1;0;"castle";"castle";-3;1
"white";1;39;"resign";1755;1574;2;7;12;"A";"Unusual";"Unusual";274.514805675509;0;-6;1;0;1;-2;"castle";"no castle";1;3
"white";1;57;"resign";1561;1596;2;15;10;"A";"Unusual";"Usual";-51.2260950030845;0;2;0;-4;3;1;"castle";"castle";1;-4
"black";1;78;"resign";1500;1554;3;5;40;"C";"Usual";"Usual";-77.3189389265885;6;3;-2;-1;-2;-4;"castle";"castle";-2;-10
"white";1;61;"resign";1544;1461;3;15;5;"D";"Unusual";"Usual";117.587600246761;2;-7;1;5;1;2;"castle";"castle";2;3
"black";1;44;"resign";1563;1335;3;20;5;"D";"Unusual";"Usual";315.486736582357;2;-3;0;3;5;-1;"castle";"castle";-2;7
"black";1;62;"mate";1579;1470;2;20;5;"A";"Unusual";"Unusual";155.90160394818;-3;6;-4;3;-4;2;"castle";"no castle";1;22
"white";1;87;"mate";1617;1590;2;20;5;"A";"Unusual";"Usual";39.9336829117829;-6;1;10;0;0;3;"castle";"castle";4;-7
"black";1;54;"mate";1207;1588;7;20;5;"C";"Usual";"Usual";-515.090376310919;0;-4;4;-3;2;-2;"no castle";"no castle";-3;-1
"black";1;54;"resign";1595;1547;3;15;5;"D";"Unusual";"Usual";70.0308451573103;4;-1;-3;-5;-2;-1;"no castle";"castle";-4;-8
"white";1;37;"resign";1855;1599;5;15;5;"C";"Usual";"Usual";398.134484885873;-2;0;-1;1;1;1;"castle";"castle";0;2
"white";1;50;"resign";1589;1547;2;15;5;"A";"Unusual";"Usual";61.1992597162246;-1;2;-2;1;0;1;"castle";"no castle";1;6
"white";1;131;"resign";1571;1728;5;30;0;"D";"Unusual";"Usual";-236.662245527452;3;5;-7;4;0;-2;"castle";"castle";-3;17
"white";1;48;"resign";1720;1579;3;30;0;"C";"Usual";"Usual";212.543800123381;0;1;2;1;1;0;"castle";"castle";0;-11
"black";1;47;"resign";1579;2105;5;15;5;"D";"Unusual";"Usual";-855.358420727946;2;-3;-1;3;1;1;"no castle";"castle";0;-3
"black";1;64;"mate";1768;1560;3;15;5;"C";"Usual";"Usual";315.400370141888;2;1;-9;-2;2;0;"castle";"castle";-3;-1
"white";1;61;"resign";1552;1436;3;15;5;"D";"Unusual";"Usual";163.731030228254;-2;-2;1;-1;6;3;"castle";"castle";1;4
"white";1;57;"mate";1536;1667;5;15;5;"D";"Unusual";"Usual";-193.590684762492;-1;2;-2;0;-1;0;"no castle";"castle";1;2
"white";1;51;"resign";1521;1549;2;15;5;"A";"Unusual";"Unusual";-40.2294879703887;-1;-3;-1;2;0;2;"castle";"no castle";1;-10
"black";1;58;"mate";1251;1545;3;15;5;"A";"Unusual";"Unusual";-397.561998766194;1;-2;1;0;-3;-2;"no castle";"castle";0;1
"white";1;71;"resign";1537;1408;3;15;5;"D";"Unusual";"Usual";180.369216533004;-6;0;7;1;1;3;"castle";"no castle";5;-3
"white";1;114;"resign";1522;1512;1;15;5;"A";"Unusual";"Unusual";14.2566317088217;-9;-4;4;6;3;4;"castle";"castle";2;-4
"white";1;39;"resign";1602;1532;11;15;5;"C";"Usual";"Usual";101.955582973473;2;-2;0;-4;0;0;"no castle";"castle";-4;-11
"black";1;20;"resign";1543;1593;5;15;5;"D";"Unusual";"Usual";-72.856261566934;0;-1;0;-1;0;-1;"no castle";"no castle";0;-2
"black";1;48;"resign";1556;1539;3;30;0;"D";"Unusual";"Usual";24.5561381863048;-1;0;0;1;1;-2;"no castle";"castle";0;0
"black";1;34;"mate";1409;1548;3;20;10;"C";"Usual";"Usual";-194.8658235657;1;-6;4;-1;2;-2;"castle";"castle";-1;-3
"white";1;51;"resign";1539;1418;5;20;10;"D";"Unusual";"Usual";169.631400370142;-4;3;0;1;4;5;"castle";"castle";6;-3
"white";1;69;"resign";1603;1550;3;20;10;"C";"Usual";"Usual";77.5055521283158;-2;4;0;0;2;3;"castle";"no castle";7;11
"white";1;28;"resign";1542;1399;4;20;10;"D";"Unusual";"Usual";199.767735965453;-1;1;0;-1;5;1;"no castle";"no castle";2;2
"black";1;62;"resign";1546;1877;5;20;10;"D";"Unusual";"Usual";-511.610425663171;4;-4;0;0;-2;-2;"no castle";"castle";-2;5
"black";1;62;"mate";1134;1535;4;20;10;"A";"Unusual";"Usual";-526.544417026527;2;-1;1;-4;-3;-6;"castle";"castle";-4;14
"white";1;85;"mate";1513;1784;2;20;10;"A";"Unusual";"Usual";-408.33898827884;0;-5;-1;9;1;0;"no castle";"castle";2;1
"white";1;38;"resign";1501;1445;5;20;10;"D";"Unusual";"Usual";78.3170882171499;0;-3;0;-1;-1;1;"no castle";"castle";0;5
"white";0;14;"resign";1500;1500;8;45;0;"C";"Usual";"Usual";0;0;-1;0;2;-1;2;"no castle";"no castle";0;0
"white";1;62;"resign";1734;1748;4;15;0;"D";"Unusual";"Usual";-21.8938926588526;0;0;3;-2;-1;1;"castle";"castle";0;-1
"white";1;101;"resign";1942;1739;6;10;0;"C";"Usual";"Usual";329.921961752005;-1;2;1;3;-2;3;"castle";"castle";0;-4
"white";1;75;"outoftime";1724;1855;7;10;0;"C";"Usual";"Usual";-208.783775447255;10;-10;1;-4;1;-4;"castle";"castle";-10;-3
"white";1;135;"mate";1951;1729;11;10;0;"C";"Usual";"Usual";360.732880937693;-15;-1;0;8;-2;5;"castle";"castle";2;2
"white";1;81;"outoftime";1726;1388;5;10;0;"C";"Usual";"Usual";490.21468229488;-5;1;6;2;-5;-4;"castle";"no castle";2;11
"black";1;46;"resign";1735;1806;6;10;0;"D";"Unusual";"Usual";-112.325416409624;0;0;-2;-2;5;-1;"no castle";"castle";0;4
"black";1;70;"mate";1597;1728;3;10;0;"C";"Usual";"Usual";-198.520357803825;2;6;-6;0;-2;-3;"castle";"castle";-2;-2
"white";1;39;"resign";1743;1738;10;10;0;"C";"Usual";"Usual";7.81770512029611;0;-3;0;1;1;2;"castle";"no castle";2;-6
"white";1;91;"resign";1721;1750;7;10;0;"D";"Unusual";"Usual";-45.2532387415176;-2;0;-2;-2;7;3;"castle";"castle";2;2
"white";1;137;"outoftime";1746;1487;5;10;0;"D";"Unusual";"Usual";385.144663787785;-15;12;0;-4;9;4;"castle";"castle";1;13
"black";1;46;"resign";1744;1735;9;10;0;"C";"Usual";"Usual";14.0663170882172;0;-3;0;-2;1;-2;"castle";"castle";-3;-2
"black";1;18;"resign";1749;1631;9;10;0;"D";"Unusual";"Usual";180.821714990746;0;2;0;0;0;0;"no castle";"no castle";0;-1
"black";1;28;"resign";1769;1396;5;10;0;"D";"Unusual";"Usual";546.844231955583;0;-1;-1;-2;0;-1;"castle";"castle";-1;-2
"black";1;40;"resign";1795;1760;5;5;8;"A";"Unusual";"Usual";55.5228254164096;-1;1;-3;-3;-1;-1;"castle";"no castle";-1;-10
"white";1;111;"mate";1729;1795;5;15;0;"D";"Unusual";"Usual";-104.069093152375;-17;6;5;2;9;4;"castle";"castle";9;0
"black";1;54;"mate";1795;1784;6;10;0;"C";"Usual";"Usual";17.5314620604565;6;-9;-1;4;-3;-3;"castle";"castle";-6;-4
"white";1;33;"resign";1770;1872;3;10;0;"D";"Unusual";"Usual";-164.546576187539;1;4;1;-5;1;3;"no castle";"no castle";-2;-5
"black";1;90;"resign";1783;1721;5;10;0;"D";"Unusual";"Usual";97.3793954349167;6;-8;5;1;0;-4;"castle";"castle";-6;-2
"black";1;90;"resign";1884;1768;7;10;0;"C";"Usual";"Usual";187.489204194941;5;-5;-1;2;-2;-5;"castle";"castle";-4;-2
"black";1;40;"mate";1756;1756;5;10;0;"C";"Usual";"Usual";0;5;-1;-1;-3;0;1;"no castle";"castle";-7;-9
"white";1;49;"outoftime";1724;1958;5;8;0;"A";"Unusual";"Usual";-380.376310919186;0;2;5;-3;-1;3;"castle";"castle";1;-4
"black";1;50;"resign";2036;1706;6;10;0;"A";"Unusual";"Usual";542.535471930907;0;1;1;1;-3;-3;"castle";"castle";0;3
"white";1;59;"mate";1706;925;5;10;0;"D";"Unusual";"Usual";1016.35996298581;-6;2;2;3;-1;7;"no castle";"castle";6;-20
"black";1;26;"outoftime";1244;1219;4;15;15;"B";"Unusual";"Unusual";31.2384330660086;-1;1;0;-2;2;0;"no castle";"no castle";-1;7
"white";1;23;"mate";1215;921;5;15;15;"C";"Usual";"Usual";337.710055521283;-1;2;0;-3;0;1;"no castle";"castle";1;2
"black";1;118;"mate";1350;1201;5;15;15;"B";"Usual";"Unusual";190.225478099938;22;-5;-6;-10;1;-4;"no castle";"castle";-17;-19
"black";1;66;"mate";1210;1280;4;15;15;"B";"Usual";"Usual";-88.0505860579889;-9;4;2;3;2;-3;"castle";"no castle";11;5
"black";1;36;"mate";1220;1341;11;15;15;"C";"Usual";"Usual";-154.851634793337;0;1;-1;-2;2;-2;"no castle";"no castle";-1;1
"black";1;26;"mate";1234;1359;6;15;15;"C";"Usual";"Usual";-161.204503392967;1;-3;0;0;1;-1;"castle";"no castle";-1;-2
"black";1;62;"resign";1275;1236;11;15;15;"C";"Usual";"Usual";49.3093769278223;2;2;-10;3;-1;-3;"castle";"no castle";-2;-1
"white";1;37;"resign";1433;1282;3;15;15;"B";"Usual";"Unusual";200.417334978408;2;-1;1;-3;0;1;"no castle";"no castle";0;-13
"black";1;24;"resign";1132;1276;4;15;15;"D";"Unusual";"Usual";-177.490438001234;0;0;0;1;1;-1;"no castle";"no castle";-1;8
"white";0;47;"resign";1276;1308;6;30;2;"C";"Usual";"Usual";-41.179518815546;0;1;-3;1;4;1;"castle";"no castle";1;13
"black";1;37;"resign";1228;1266;7;15;15;"B";"Usual";"Unusual";-47.8457742134485;0;6;2;-4;-4;1;"castle";"castle";1;6
"black";1;24;"resign";1273;1409;5;15;15;"B";"Usual";"Unusual";-179.123997532387;0;-2;0;2;-2;-1;"castle";"no castle";-1;-3
"white";1;9;"resign";1338;1277;3;15;15;"D";"Unusual";"Usual";79.0817396668723;0;1;0;1;-1;-1;"no castle";"no castle";0;0
"white";1;47;"mate";1263;1336;8;15;15;"B";"Usual";"Usual";-94.278531770512;-4;0;3;1;3;-2;"castle";"no castle";1;3
"white";1;85;"mate";1316;1273;2;15;15;"A";"Unusual";"Unusual";55.401295496607;-6;0;5;5;-3;2;"castle";"no castle";9;4
"white";1;39;"mate";1248;1253;2;15;15;"B";"Usual";"Unusual";-6.3062924120913;-1;-7;0;6;4;0;"castle";"no castle";0;-2
"black";1;58;"mate";1335;1233;6;15;15;"E";"Unusual";"Usual";130.756323257249;1;3;1;-3;-4;2;"castle";"castle";-1;7
"white";1;95;"mate";1223;1189;11;15;15;"C";"Usual";"Usual";41.9494139420111;-20;2;8;-2;14;5;"castle";"no castle";12;15
"white";1;97;"mate";1227;1216;4;15;15;"D";"Unusual";"Usual";13.6770512029611;-10;3;15;-3;1;5;"castle";"castle";5;-14
"white";1;30;"resign";1227;1227;8;15;15;"C";"Usual";"Unusual";0;-2;4;-1;-1;1;1;"castle";"castle";4;-2
"white";1;43;"mate";1550;1225;8;10;0;"E";"Unusual";"Usual";437.376619370759;0;5;1;-5;1;0;"castle";"castle";-3;-2
"white";1;11;"resign";1325;1234;2;15;15;"B";"Usual";"Unusual";116.402529302899;0;0;0;-1;-1;0;"no castle";"no castle";0;0
"black";1;72;"mate";1212;1221;5;15;15;"B";"Usual";"Unusual";-11.1625539790253;2;-4;2;-9;1;-1;"castle";"castle";-3;2
"black";1;156;"mate";1226;1478;3;15;15;"C";"Usual";"Usual";-333.61628624306;10;-11;4;7;-3;-5;"castle";"castle";-1;9
"black";1;18;"resign";1228;1626;4;25;0;"D";"Unusual";"Usual";-545.316471314004;0;1;0;0;0;-2;"no castle";"no castle";0;1
"white";0;77;"mate";1191;1228;7;10;2;"C";"Unusual";"Usual";-45.7307217766811;-1;-8;3;-3;7;1;"castle";"no castle";-1;-3
"black";1;32;"resign";1422;1210;5;30;0;"B";"Usual";"Unusual";275.953115360888;0;2;-1;-4;0;0;"castle";"no castle";0;3
"white";1;35;"resign";1186;1223;5;15;15;"C";"Usual";"Unusual";-45.6165946946329;0;2;2;-2;2;1;"castle";"castle";-1;-3
"white";1;85;"mate";1212;1212;2;15;15;"B";"Usual";"Unusual";0;-9;0;3;7;-4;3;"castle";"no castle";5;12
"black";1;50;"resign";1228;1343;6;15;15;"B";"Usual";"Unusual";-147.527760641579;2;-2;3;-5;0;-3;"no castle";"castle";-4;-9
"white";1;111;"resign";1865;1862;5;10;10;"A";"Unusual";"Unusual";4.9182603331277;-7;-9;-1;2;19;3;"castle";"castle";1;4
"white";1;65;"outoftime";1852;1852;5;7;2;"B";"Usual";"Usual";0;-1;6;1;-7;4;0;"castle";"castle";0;-5
"white";1;73;"resign";1833;1863;4;15;0;"A";"Unusual";"Usual";-48.8957433682912;0;0;1;-4;0;0;"castle";"castle";0;6
"white";1;125;"resign";1851;1918;4;15;0;"B";"Usual";"Usual";-110.709130166564;0;2;-1;-4;0;2;"castle";"castle";-1;-9
"black";1;76;"resign";1861;1844;6;15;0;"C";"Usual";"Usual";27.7547809993831;-3;6;2;-3;-2;1;"castle";"castle";5;1
"white";1;65;"outoftime";1853;1774;6;10;0;"C";"Usual";"Usual";127.077421344849;5;0;-2;2;-3;1;"no castle";"castle";-1;4
"white";1;41;"mate";1910;1862;11;10;0;"B";"Usual";"Usual";79.3584207279457;-1;0;1;0;2;-2;"castle";"castle";0;-2
"white";1;59;"resign";1851;1890;3;10;0;"C";"Usual";"Usual";-64.1057988895743;-4;1;3;0;3;2;"no castle";"castle";3;12
"black";1;70;"resign";1860;1840;5;15;5;"B";"Usual";"Usual";32.6218383713757;4;-5;0;1;-4;-3;"castle";"castle";-2;-7
"white";1;34;"resign";1828;1848;5;25;25;"B";"Usual";"Usual";-32.4737816162862;0;-2;0;1;2;-2;"castle";"castle";1;-8
"white";1;69;"outoftime";1855;1858;1;8;0;"E";"Unusual";"Unusual";-4.90530536705737;0;2;0;5;-2;0;"castle";"castle";1;0
"white";1;63;"resign";1847;1895;8;10;10;"C";"Usual";"Usual";-78.9142504626774;-1;-6;3;4;-5;1;"castle";"castle";0;-5
"white";1;107;"resign";1885;1856;4;10;10;"B";"Usual";"Usual";47.6684145589143;-2;-1;3;2;-3;2;"castle";"no castle";3;1
"white";1;58;"resign";1847;1802;1;30;0;"A";"Unusual";"Unusual";72.6912399753239;-2;7;-1;0;-4;2;"castle";"castle";3;9
"black";0;34;"resign";1847;1856;6;20;5;"B";"Usual";"Unusual";-14.6881554595928;-2;-3;1;2;1;1;"castle";"no castle";3;6
"black";1;100;"outoftime";1840;1837;3;15;0;"B";"Usual";"Usual";4.87199259716225;9;-2;-6;4;-7;-4;"castle";"castle";-5;-15
"black";1;80;"resign";1848;1806;4;5;5;"B";"Usual";"Usual";67.9099321406539;7;-8;2;1;0;1;"castle";"castle";-5;-4
"black";1;44;"resign";1860;1820;3;15;0;"C";"Usual";"Usual";64.996915484269;2;-2;1;-3;1;0;"castle";"castle";-3;1
"black";1;40;"outoftime";1854;1849;3;10;0;"A";"Unusual";"Usual";8.16008636644047;1;1;0;-5;0;-1;"no castle";"castle";-2;-1
"white";1;105;"outoftime";1895;1859;4;10;0;"B";"Usual";"Usual";59.3189389265885;-8;2;3;0;6;-1;"castle";"castle";6;10
"black";1;50;"resign";1866;1965;6;15;0;"B";"Usual";"Usual";-165.478408389883;2;1;1;2;-3;-1;"castle";"castle";-2;-1
"black";0;81;"resign";1835;1866;11;10;0;"B";"Usual";"Unusual";-50.5734114743985;3;-1;-1;3;-4;-2;"castle";"castle";1;-12
"black";1;69;"resign";1877;1860;6;15;0;"C";"Usual";"Usual";27.9225786551511;-4;2;2;-2;1;-1;"castle";"no castle";8;12
"white";1;77;"mate";1849;1874;11;7;8;"B";"Usual";"Usual";-40.9546576187539;-3;6;3;-7;0;0;"castle";"castle";4;-3
"black";1;158;"mate";1835;1865;6;6;6;"E";"Unusual";"Usual";-48.9327575570635;-4;0;3;-2;2;-2;"castle";"castle";10;2
"white";1;117;"mate";1856;1829;12;15;0;"C";"Usual";"Usual";43.9145589142505;-12;3;-1;2;5;3;"castle";"castle";7;3
"white";1;44;"resign";1845;1846;8;10;0;"C";"Usual";"Usual";-1.62831585441086;0;-1;1;-1;4;1;"castle";"castle";0;4
"black";1;40;"resign";1834;1835;4;15;0;"B";"Usual";"Usual";-1.62152991980259;-2;2;0;0;1;1;"castle";"castle";2;3
"white";1;59;"resign";1846;1845;2;15;5;"B";"Usual";"Unusual";1.62831585441086;-2;3;-1;4;0;0;"castle";"castle";1;3
"black";0;110;"resign";1845;1917;4;10;0;"D";"Unusual";"Usual";-118.815545959284;7;1;5;-7;1;0;"castle";"castle";-8;-19
"black";1;30;"resign";1858;1790;4;15;0;"B";"Usual";"Unusual";109.823565700185;0;0;0;-2;-3;-1;"no castle";"castle";-1;-3
"black";1;54;"resign";1871;1847;4;10;0;"B";"Usual";"Usual";39.2794571252313;2;-4;0;-2;-2;-4;"castle";"castle";-3;3
"black";1;69;"resign";1846;1869;5;10;0;"C";"Usual";"Usual";-37.6215299198026;-3;1;3;2;0;-1;"no castle";"no castle";2;16
"black";1;178;"mate";1843;1836;3;16;0;"B";"Usual";"Usual";11.3723010487353;4;0;1;8;-6;-1;"castle";"castle";0;1
"black";1;136;"resign";1800;1826;2;15;0;"B";"Usual";"Usual";-41.8149290561382;-8;-3;12;8;0;-4;"castle";"castle";-4;-7
"black";0;124;"mate";1283;1267;5;8;0;"B";"Usual";"Usual";20.4219617520049;12;-7;0;2;3;-1;"no castle";"no castle";-4;-12
"black";1;96;"resign";1290;1270;1;10;4;"A";"Unusual";"Unusual";25.5891425046268;14;-1;-8;-2;-1;-6;"no castle";"castle";-3;-8
"white";1;53;"outoftime";1331;1281;4;12;0;"D";"Unusual";"Usual";64.7748303516348;4;-3;-1;-5;4;-3;"no castle";"castle";-5;-1
"white";1;39;"mate";1304;1292;1;10;0;"A";"Unusual";"Unusual";15.4867365823566;-1;-1;0;0;2;0;"no castle";"castle";1;1
"black";1;10;"mate";1305;1293;3;10;0;"C";"Usual";"Usual";15.494139420111;0;-2;0;0;0;-1;"no castle";"no castle";0;0
"white";1;51;"mate";1308;1317;8;10;0;"C";"Usual";"Usual";-11.6955582973473;-1;9;-2;-2;-2;-1;"castle";"castle";-1;0
"black";1;18;"resign";1296;1305;13;15;0;"C";"Usual";"Usual";-11.6289327575571;0;0;0;-3;-1;-2;"no castle";"no castle";-2;0
"black";0;106;"mate";968;1305;8;30;0;"C";"Usual";"Usual";-401.34392350401;19;-6;-12;0;3;-9;"castle";"castle";-6;-18
"black";0;38;"mate";1293;1466;5;15;15;"C";"Usual";"Usual";-231.965144972239;3;-5;3;-1;1;0;"castle";"castle";-3;0
